"Python爬虫工程师","武汉飞猫环球商贸有限公司","武汉","6-8千/月","6000.0","8000.0","01-10"
"python开发工程师（深圳）","深圳泽派信息技术有限公司","深圳","4.5-8千/月","4500.0","8000.0","01-10"
"Python高级开发工程师","深圳融安网络科技有限公司","深圳","1.5-3万/月","15000.0","30000.0","01-10"
"Python体验课讲师","大连东软睿道教育信息服务有限公司","青岛","0.8-1万/月","8000.0","10000.0","01-10"
"Python开发工程师","上海天玑科技股份有限公司","上海","1-2.5万/月","10000.0","25000.0","01-10"
"Python爬虫工程师8000","深圳泰力互联网金融服务有限公司","武汉","0.6-1万/月","6000.0","10000.0","01-10"
"Python开发工程师","武汉光谷智能科技有限公司","武汉","0.6-1万/月","6000.0","10000.0","01-10"
"Python开发工程师（坂田）","深圳市光速度科技有限公司","深圳","6-9千/月","6000.0","9000.0","01-10"
"RPA软件售前工程师（Python）","上海艺赛旗软件股份有限公司","南京","0.5-1万/月","5000.0","10000.0","01-10"
"Python开发工程师","杭州露电科技有限公司","杭州","5-8千/月","5000.0","8000.0","01-10"
"Python开发工程师","河南十月文化传媒有限公司","郑州","5-8千/月","5000.0","8000.0","01-10"
"Python实习-机器学习方向","寰宇优才教育科技（北京）有限公司","北京","0.8-1万/月","8000.0","10000.0","01-10"
"Python/Odoo开发工程师","上海施佳化妆品有限公司","上海","2.5-3万/月","25000.0","30000.0","01-10"
"Python开发工程师","山东云亿佳网络科技有限公司","济南","0.6-1.5万/月","6000.0","15000.0","01-10"
"Python爬虫开发工程师","北京敏捷艾科数据技术有限公司","北京","0.6-1万/月","6000.0","10000.0","01-10"
"python产品研发工程师","远江盛邦（北京）网络安全科技股份有限公司","西安","0.5-1万/月","5000.0","10000.0","01-10"
"Python开发实习生","陕西速橘丰信息科技有限公司","西安","4.5-6千/月","4500.0","6000.0","01-10"
"Python 开发工程师（五险一金）","百令信息科技（上海）有限公司","长沙","6-9.5千/月","6000.0","9500.0","01-10"
"PHP Python 爬虫 开发工程师","上海橘涞金融信息服务有限公司","上海","6-8千/月","6000.0","8000.0","01-10"
"人工智能+python课程研究员(J11689)","北京传智播客教育科技有限公司","北京","4-6万/月","40000.0","60000.0","01-10"
"Python后端工程师","深圳市铱硙医疗科技有限公司","深圳","1-1.8万/月","10000.0","18000.0","01-10"
"Python开发工程师-ZH","北京四维图新科技股份有限公司","北京","2-4万/月","20000.0","40000.0","01-10"
"Python研发工程师（房山良乡，苏庄地铁站附近）","北京凤凰学易科技有限公司","北京","2-4万/月","20000.0","40000.0","01-10"
"Python高级开发工程师","四川明达集团实业有限公司","成都","1.3-2万/月","13000.0","20000.0","01-10"
"Python开发工程师","成都壹玖捌玖科技有限公司","成都","6-8千/月","6000.0","8000.0","01-10"
"Python开发工程师（渲染）","深圳市瑞云科技有限公司","深圳","7-9千/月","7000.0","9000.0","01-10"
"C++/Python/QT软件工程师","思力科（深圳）电子科技有限公司","深圳","1.2-2.5万/月","12000.0","25000.0","01-10"
"Python后台","恒拓开源信息科技股份有限公司广州分公司","广州","0.9-1.4万/月","9000.0","14000.0","01-10"
"Python开发工程师","临沂影漫文化传媒有限公司","临沂","6-8千/月","6000.0","8000.0","01-10"
"全栈工程师（Python）","诺亚歌斐投资管理","上海","1.5-2.5万/月","15000.0","25000.0","01-10"
"Python爬虫工程师","中非电子商务有限公司","成都","1-1.8万/月","10000.0","18000.0","01-10"
"资深Python工程师","火石创造（医健产业大数据）","杭州","1.5-2.5万/月","15000.0","25000.0","01-10"
"Python 开发工作","上海领旗信息科技有限公司","上海","1-1.5万/月","10000.0","15000.0","01-10"
"Python高级开发工程师","北京方圆众创网络科技有限公司","深圳","1-3万/月","10000.0","30000.0","01-10"
"Python开发工程师","源讯信息技术（中国）有限公司","大连","6-8千/月","6000.0","8000.0","01-10"
"Python开发工程师","武汉江辉晟兴网络科技有限公司","武汉","0.8-1万/月","8000.0","10000.0","01-10"
"python编程教师  (全职/***  授课方向)","北京爱提分博乐教育科技有限公司","北京","1.5-2.5万/月","15000.0","25000.0","01-10"
"Python运维开发工程师","上海驿氪信息科技有限公司","上海","15-25万/年","12500","20833.0","01-10"
"底薪5K少儿编程教师Java/python","湖南好小子机器人科技有限公司","长沙","6-8千/月","6000.0","8000.0","01-10"
"python开发工程师","浙江元一家居用品集团有限公司","杭州","1-1.5万/月","10000.0","15000.0","01-10"
"Python工程师","广东优德科技有限公司","广州","0.5-1万/月","5000.0","10000.0","01-10"
"Python Web开发工程师","深圳市风云实业有限公司","成都","7-9千/月","7000.0","9000.0","01-10"
"python讲师","湖南潭州教育网络科技有限公司","长沙","0.6-1.2万/月","6000.0","12000.0","01-10"
"Python工程师","深圳市公狼网络科技有限公司","深圳","1-1.5万/月","10000.0","15000.0","01-10"
"高级资深python开发工程师","上海速石信息科技有限公司","上海","2.5-5万/月","25000.0","50000.0","01-10"
"软件开发工程师（可实习JAVA或Python）","郑州悠络客信息技术有限公司","郑州","4.5-6千/月","4500.0","6000.0","01-10"
"Python培训师","上海晔枫教育科技有限公司","上海","6-8千/月","6000.0","8000.0","01-10"
"python开发工程师","上海杰奕信息技术有限公司","上海","0.8-2万/月","8000.0","20000.0","01-10"
"Python高级开发工程师","北京棣南新宇科技有限公司","北京","1.5-2万/月","15000.0","20000.0","01-10"
"Python全栈工程师","深圳市力川华弘实业有限公司","深圳","1.8-3万/月","18000.0","30000.0","01-10"
"python 开发工程师","上海网达软件股份有限公司","上海","1.3-2.5万/月","13000.0","25000.0","01-10"
"Python工程师","静瞳海外投资顾问（深圳）有限公司","广州","1-2万/月","10000.0","20000.0","01-10"
"Python自动化测试工程师","上海易宝软件有限公司深圳分公司","成都","0.7-1.4万/月","7000.0","14000.0","01-10"
"Python开发","成都汇智动力职业技能培训学校","成都","6-8千/月","6000.0","8000.0","01-10"
"Python开发工程师","浩鲸云计算科技股份有限公司","广州","1.2-1.8万/月","12000.0","18000.0","01-10"
"python工程师","深圳市爱飞亿科技有限公司","深圳","1-1.5万/月","10000.0","15000.0","01-10"
"Python开发工程师（odoo）","深圳市有芯电子有限公司","深圳","1.5-2.5万/月","15000.0","25000.0","01-10"
"JAVA/ Python讲师(上市外企+双休+五险一金）","童程童美济南分公司","济南","6-8千/月","6000.0","8000.0","01-10"
"Python高级开发工程师","深圳市云盾科技有限公司","深圳","1-1.5万/月","10000.0","15000.0","01-10"
"Python高级研发工程师","北京从零到壹科技有限公司","北京","1-2万/月","10000.0","20000.0","01-10"
"Python开发工程师","广州西麦科技股份有限公司","广州","0.9-1.5万/月","9000.0","15000.0","01-10"
"Python开发工程师","上海置天信息技术有限公司","上海","1-1.5万/月","10000.0","15000.0","01-10"
"初中级数据开发工程师-python","北京新大陆时代教育科技有限公司","福州","1-1.5万/月","10000.0","15000.0","01-10"
"大数据开发/python工程师","广州品宜贸易有限公司","广州","20-30万/年","16666","25000.0","01-10"
"中级python开发工程师","南京国图信息产业有限公司","南京","1-1.5万/月","10000.0","15000.0","01-10"
"实习生(前端&Python&Java&ASP.NET)","广州云岫信息科技有限公司","广州","3-5千/月","3000.0","5000.0","01-10"
"Python开发工程师 - 运营中心","网易集团","广州","2.5-3万/月","25000.0","30000.0","01-10"
"Python教学研发经理","北京八维研修学院","北京","2-2.5万/月","20000.0","25000.0","01-10"
"Python开发/深度学习","上海凯融信息科技有限公司","上海","0.7-1.5万/月","7000.0","15000.0","01-10"
"Python讲师","湖南潭州教育网络科技有限公司成都分公司","成都","3-6千/月","3000.0","6000.0","01-10"
"高级后端开发工程师（PYTHON）","深圳市金翰信息科技有限公司","深圳","3-4万/月","30000.0","40000.0","01-10"
"Python爬虫工程师","成都启发分期科技有限公司","成都","1-1.5万/月","10000.0","15000.0","01-10"
"Python工程师（爬虫方向）","深圳市涌浪网络技术有限公司","深圳","15-20万/年","12500","16666.0","01-10"
"资深Python研发工程师","字节跳动","南京","2.5-4万/月","25000.0","40000.0","01-10"
"Golang/Python后端工程师","杭州嘿豆科技有限公司","杭州","1-1.8万/月","10000.0","18000.0","01-10"
"python讲师","重庆寅冠州教育科技有限公司","重庆","0.6-1.2万/月","6000.0","12000.0","01-10"
"Python开发工程师","瞬联软件科技（北京）有限公司 CIeNET Technologies","上海","1-1.8万/月","10000.0","18000.0","01-10"
